id,corpus_name,corpus_title,corpus_acronym,name,firstAuthor,title,subtitle,normalizedGenre,numOfSpeakers,yearNormalized,size,numOfSegments,numConnectedComponents,averageClustering,averagePathLength,numEdges,CC_rand,APL_rand,CC_dev,APL_dev,S,swn1,polynomial,exponential,linear,quadratic
als000001,als,Alsatian Drama Corpus,AlsDraCor,arnold-der-pfingstmontag,Arnold,Der Pfingstmontag,Lustspiel in Straßburger Mundart,,16,1816,16,42,1,0.978571428571429,1.1,108,0.898204705512182,1.1,1.08947484083088,1.0,1.08947484083088,1,,,,
als000002,als,Alsatian Drama Corpus,AlsDraCor,stoskopf-ins-ropfers-apothek,Stoskopf,In’s Ropfer’s Apothek,Schwank in 3 Aufzügen,,17,1907,17,3,1,0.914156431803491,1.14705882352941,116,0.850692564772763,1.14705882352941,1.07460258812498,1.0,1.07460258812498,1,,,,
als000003,als,Alsatian Drama Corpus,AlsDraCor,stoskopf-dr-hoflieferant,Stoskopf,D’r Hoflieferant,Elsässische Komödie in 3 Aufzügen von G. Stoskopf,,21,1905,21,3,1,1.0,1.0,210,1.0,1.0,1.0,1.0,1.0,0,,,,
als000004,als,Alsatian Drama Corpus,AlsDraCor,hart-dr-poetisch-oscar,Hart,D’r poetisch Oscar,"Einakter vun Marie Hart. Nej bearweit vun E. Deck, Regisseur vom Els. Theater in Hawenau.",,6,1937,6,10,1,0.9,1.13333333333333,13,0.846351515151515,1.13333333333333,1.06338794683776,1.0,1.06338794683776,1,,,,
als000005,als,Alsatian Drama Corpus,AlsDraCor,greber-sainte-cecile,Greber,Sainte-Cécile!,Lustspiel in einem Aufzuge in Straßburger Mundart von Julius Greber,,7,1897,7,15,1,0.676190476190476,1.42857142857143,13,0.574890001244187,1.39112380952381,1.17620844809799,1.0269189692472,1.14537610397851,1,,,,
als000006,als,Alsatian Drama Corpus,AlsDraCor,clemens-chrischtowe,Clemens,Chrischtowe,E Wihnachtsstüeckel in 1 Akt in elsässischem Dialekt füer kleine und grossi Kinder,,12,1919,12,1,1,1.0,1.0,66,1.0,1.0,1.0,1.0,1.0,0,,,,
als000007,als,Alsatian Drama Corpus,AlsDraCor,bastian-dr-hofnarr-heidideldum,Bastian,D’r Hofnarr Heidideldum,Märel in 6 Bilder un 2 Verwandlunge vun Ferd. Bastian. Musik von Aug. Schwoob,,30,1937,30,43,1,0.841583187540786,1.48275862068966,241,0.552118022198822,1.4459816091954,1.52428131976051,1.02543394138651,1.48647441657675,1,,,,
als000008,als,Alsatian Drama Corpus,AlsDraCor,bastian-dr-hans-im-schnokeloch,Bastian,D'r Hans im Schnokeloch,"Volksspiel in 4 Aufzügen mit Musik, Gesang und Tanz von Ferd. Bastian",,22,1930,22,4,1,0.949430394167236,1.18614718614719,188,0.812255366589279,1.18614718614719,1.16888165128901,1.0,1.16888165128901,1,,,,
als000009,als,Alsatian Drama Corpus,AlsDraCor,bastian-dr-maischter-hett-gewunne,Bastian,D'r Maischter hett gewunne!,Schwank in aam Akt,,8,1937,8,10,1,0.875,1.25,21,0.729581510323719,1.25003571428571,1.19931767406189,0.999971429387732,1.19935194028114,1,,,,
als000010,als,Alsatian Drama Corpus,AlsDraCor,bastian-e-sportschochzitt,Bastian,E Sportschochzitt,E Farce in aam Akt,,8,1937,8,12,1,0.879761904761905,1.28571428571429,20,0.692378746725464,1.286,1.27063678502937,0.999777827149522,1.27091914875937,1,,,,
als000011,als,Alsatian Drama Corpus,AlsDraCor,clemens-a-latzi-visit,Clemens,A lätzi Visit,Elsässisch Luschtspiel in 1 Akt vun Paul Clemens,,5,1920,5,11,1,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,0,,,,
als000012,als,Alsatian Drama Corpus,AlsDraCor,clemens-charlot,Clemens,„Charlot“,"E ürgelungenes Stückel in 1 Akt im elsässischa Dialekt von Paul Clemens, Bischheim (Nur Herrenrollen)",,6,1920,6,17,1,0.766666666666667,1.26666666666667,11,0.688097058823529,1.26666666666667,1.11418390303465,1.0,1.11418390303465,1,,,,
als000013,als,Alsatian Drama Corpus,AlsDraCor,clemens-gift,Clemens,Gift!,Schwank in einem Akt in elsässischer Mundart,,6,1919,6,15,1,0.694444444444445,1.33333333333333,10,0.61190822954823,1.33633333333333,1.13488332222162,0.997755051134946,1.13743680969662,1,,,,
als000014,als,Alsatian Drama Corpus,AlsDraCor,greber-d-jumpfer-prinzesse,Greber,D'Jumpfer Prinzesse,Schauspiel in 3 Aufzügen in Straßburger Mundart von Julius Greber. Mit einer Deckenzeichnung von C. Spindler.,,12,1899,12,4,1,0.932323232323232,1.09090909090909,60,0.906534965441399,1.09090909090909,1.02844707359884,1.0,1.02844707359884,1,,,,
als000015,als,Alsatian Drama Corpus,AlsDraCor,greber-lucie,Greber,Lucie,Dramatisches Sittenbild in einem Aufzuge in Straßburger Mundart,,8,1896,8,14,1,0.838095238095238,1.28571428571429,20,0.691248854427534,1.28614285714286,1.21243635013228,0.999666777740753,1.21284049558232,1,,,,
als000016,als,Alsatian Drama Corpus,AlsDraCor,horsch-d-madam-fahrt-velo,Horsch,D'Madam fahrt Velo,E modern's Lustspiel in 1 Akt,,8,1901,8,10,1,0.897619047619048,1.21428571428571,22,0.76851640252895,1.21428571428571,1.16798944650402,1.0,1.16798944650402,1,,,,
als000017,als,Alsatian Drama Corpus,AlsDraCor,jost-daa-im-narrehuss,Jost,E Daa im Narrehüss,E Original-Farce in zwei kurze Akt vum Camille Jost,,13,1928,13,44,3,0.606593406593407,1.50909090909091,30,0.365869935305722,1.69935547785548,1.65794821617834,0.888037216907274,1.86698055510827,1,,,,
als000018,als,Alsatian Drama Corpus,AlsDraCor,jost-so-e-liederlicher-frack,Jost,So e liederlicher Frack!,odder: E foljieschwäri Hüssuechung. E Schwank in 1 Uffzug,,9,1928,9,19,1,0.904761904761905,1.16666666666667,30,0.823092144982544,1.16666666666667,1.09922310676539,1.0,1.09922310676539,1,,,,
als000019,als,Alsatian Drama Corpus,AlsDraCor,kettner-uff-dr-hochzittsreis,Kettner,Uff Dr Hochzittsreis,Luschtspiel in 1 Akt im els. Dialekt,,5,1924,5,17,1,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,0,,,,
als000020,als,Alsatian Drama Corpus,AlsDraCor,kuehne-bureaukrate,Kühne,Bureaukrate!,Dialektkomödie in einem Akt,,11,1923,11,15,1,0.883116883116883,1.23636363636364,42,0.755809437907978,1.23636363636364,1.16843854922119,1.0,1.16843854922119,1,,,,
als000021,als,Alsatian Drama Corpus,AlsDraCor,riff-sainte-barbe,Riff,Sainte Barbe,Comédie in Aam Uffzug vun Jean Riff,,17,1919,17,16,1,0.864166552401847,1.39705882352941,82,0.596162218883929,1.39723529411765,1.44954934249213,0.99987370016419,1.44973244346171,1,,,,
als000022,als,Alsatian Drama Corpus,AlsDraCor,riff-s-paradies,Riff,s' Paradies,E luschdigs Schwänkele in aam Uffzug von Jean Riff,,2,1922,2,5,1,0.0,1.0,1,,1.0,,1.0,,0,,,,
als000023,als,Alsatian Drama Corpus,AlsDraCor,schneegans-steckelburjer-universite-saaue,Schneegans,Was d' Steckelburjer vun d'r „Université“ saaue,"Humoristisches Intermezzo von Dr. Heinrich Schneegans Privatdocent, Aufgeführt zum Universitäts-Jubiläum am 2. Mai 1897",,6,1897,6,4,1,0.9,1.13333333333333,13,0.846593939393939,1.13333333333333,1.06308344310177,1.0,1.06308344310177,1,,,,
als000024,als,Alsatian Drama Corpus,AlsDraCor,stoskopf-dr-herr-maire,Stoskopf,D'r Herr Maire,Lustspiel in drei Aufzügen von G. Stoskopf. 18. Auflage,,39,1898,39,56,1,0.794971365225152,1.85290148448043,258,0.345750228620029,1.65658704453441,2.29926490113419,1.11850535750217,2.05565837097899,1,,,,
als000025,als,Alsatian Drama Corpus,AlsDraCor,weber-yo-yo,Weber,Yo-Yo!,E Geduldspiel in einem Akt,,5,1932,5,16,1,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,0,,,,
bash00001,bash,Bashkir Drama Corpus,BashDraCor,karim-aj-totolghan-tonda,Кәрим,Ай тотолған төндә,Өс шаршаулы трагедия,,17,1964,17,4,1,0.914905682552741,1.13235294117647,118,0.865723351809339,1.13235294117647,1.05681067819253,1.0,1.05681067819253,1,,,,
bash00002,bash,Bashkir Drama Corpus,BashDraCor,karim-tashlama-utty,Кәрим,"Ташлама утты, Прометей!",Алты картиналы трагедия,,34,1975,34,6,1,0.889184396366126,1.47058823529412,297,0.527918690006099,1.47059714795009,1.68432073574787,0.99999393943067,1.68433094375233,1,,,,
bash00003,bash,Bashkir Drama Corpus,BashDraCor,khudayberdin-aq-bilettar,Худайбердин,Аҡ билеттәр,Роталар тормошонан,,5,1917,5,1,1,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000001,cal,Calderón Drama Corpus,CalDraCor,a-dios-por-razon-de-estado,Calderón,A Dios por razón de estado,,,18,1717,18,1,1,1.0,1.0,153,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000002,cal,Calderón Drama Corpus,CalDraCor,a-maria-el-corazon,Calderón,A María el corazón,Auto historial alegórico,,14,1717,14,1,1,1.0,1.0,91,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000003,cal,Calderón Drama Corpus,CalDraCor,afectos-de-odio-y-amor,Calderón,Afectos de odio y amor,,,14,1664,14,3,1,1.0,1.0,91,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000004,cal,Calderón Drama Corpus,CalDraCor,amor-honor-y-poder,Calderón,"Amor, honor y poder",Comedia famosa,,9,1623,9,3,1,1.0,1.0,36,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000005,cal,Calderón Drama Corpus,CalDraCor,andromeda-y-perseo,Calderón,Andrómeda y Perseo,Auto sacramental alegórico,,16,1759,16,1,1,1.0,1.0,120,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000006,cal,Calderón Drama Corpus,CalDraCor,casa-con-dos-puertas-mala-es-de-guardar,Calderón,Casa con dos puertas mala es de guardar,Comedia famosa,,10,1629,10,3,1,1.0,1.0,45,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000007,cal,Calderón Drama Corpus,CalDraCor,el-ano-santo-de-roma,Calderón,El año sancto de Roma,Auto sacramental,,18,1759,18,1,1,1.0,1.0,153,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000008,cal,Calderón Drama Corpus,CalDraCor,el-cordero-de-isaias,Calderón,El cordero de Isaías,Auto sacramental alegórico,,18,1759,18,1,1,1.0,1.0,153,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000009,cal,Calderón Drama Corpus,CalDraCor,el-diablo-mudo-primera-version,Calderón,El diablo mudo,Auto sacramental,,13,1660,13,1,1,1.0,1.0,78,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000010,cal,Calderón Drama Corpus,CalDraCor,el-diablo-mudo-segunda-version,Calderón,El diablo mudo,Segunda versión. Auto historial alegórico,,14,1681,14,1,1,1.0,1.0,91,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000012,cal,Calderón Drama Corpus,CalDraCor,el-divino-orfeo,Calderón,El divino Orfeo,Auto sacramental alegórico. Versión de 1663,,17,1663,17,1,1,1.0,1.0,136,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000013,cal,Calderón Drama Corpus,CalDraCor,el-faetonte,Calderón,El Faetonte,Comedia famosa,,20,1661,20,4,1,1.0,1.0,190,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000014,cal,Calderón Drama Corpus,CalDraCor,el-galan-fantasma,Calderón,El galán fantasma,,,12,1637,12,3,1,1.0,1.0,66,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000015,cal,Calderón Drama Corpus,CalDraCor,el-gran-teatro-del-mundo,Calderón,El gran teatro del mundo,Auto sacramental alegórico,,11,1717,11,1,1,1.0,1.0,55,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000016,cal,Calderón Drama Corpus,CalDraCor,el-indulto-general,Calderón,El indulto general,Auto sacramental alegórico,,17,1759,17,1,1,1.0,1.0,136,1.0,1.0,1.0,1.0,1.0,0,,,,
cal000017,cal,Calderón Drama Corpus,CalDraCor,el-jardin-de-falerina,Calderón,El jardín de Falerina,Fiesta que se representó a sus majestades,,23,1677,23,2,1,0.981931112365895,1.02371541501976,247,0.976129779792384,1.02371541501976,1.00594319801896,1.0,1.00594319801896,1,,,,
cal000018,cal,Calderón Drama Corpus,CalDraCor,el-medico-de-su-honra,Calderón,El médico de su honra,Comedia famosa,,17,1641,17,3,1,0.924499030381383,1.125,119,0.87324936843106,1.125,1.05868846151289,1.0,1.05868846151289,1,,,,
cal000019,cal,Calderón Drama Corpus,CalDraCor,el-monstruo-de-los-jardines,Calderón,El monstruo de los jardines,Comedia famosa,,19,1674,19,3,1,0.931200550395597,1.11695906432749,151,0.881444073404976,1.11695906432749,1.05644881903671,1.0,1.05644881903671,1,,,,
cal000020,cal,Calderón Drama Corpus,CalDraCor,el-nuevo-hospicio-de-pobres,Calderón,El nuevo hospicio de pobres,Auto sacramental alegórico intitulado,,19,1759,19,1,1,1.0,1.0,171,1.0,1.0,1.0,1.0,1.0,0,,,,
